Temp/Food,Zeit/Min.,kW/h
96,0,0.44
92,1,1.76
88,2,3.52
83,3,5.72
77,4,8.36
72,5,10.56
69,6,11.88
66,7,13.2
62,8,14.96
58,9,16.72
55,10,18.04
53,11,18.92
50,12,20.24
48,13,21.12
46,14,22
45,15,22.44
42,16,23.76
41,17,24.2
39,18,25.08
37,19,25.96
36,20,26.4
35,21,26.84
34,22,27.28
33,23,27.72
31,24,28.6
30,25,29.04
29,26,29.48
28,27,29.92
27,28,30.36
26,29,30.8
25,30,31.24
24,31,31.68
23,32,32.12
22,33,32.56
21,34,33
20,35,33.44
19,36,33.88
18,37,34.32
18,38,34.32
17,39,34.76
17,40,34.76
16,41,35.2
15,42,35.64
15,43,35.64
14,44,36.08
14,45,36.08
13,46,36.52
13,47,36.52
13,48,36.52
12,49,36.96
12,50,36.96
11,51,37.4
11,52,37.4
11,53,37.4
10,54,37.84
10,55,37.84
10,56,37.84
9,57,38.28
9,58,38.28
9,59,38.28
9,60,38.28
8,61,38.72
8,62,38.72
8,63,38.72
8,64,38.72
8,65,38.72
8,66,38.72
7,67,39.16
7,68,39.16
7,69,39.16
7,70,39.16
6,71,39.6
6,72,39.6
6,73,39.6
6,74,39.6
6,75,39.6
6,76,39.6
5,77,40.04
5,78,40.04
5,79,40.04
5,80,40.04
4,81,40.48
4,82,40.48
4,83,40.48
4,84,40.48
3,85,40.92
